country_id,college_name
48,Irkutsk State Medical University
48,Ivanovo State Medical Academy
48,Izhevsk State Medical Academy
48,Kabardino-Balkarian State University
48,Kaluga State University
48,Kazan Federal (Volga) University
48,Kazan State Medical University
48,Kemerovo State Medical Academy
48,Khakassia State University named after N.F. Katanov
48,Kirov State Medical Academy
48,Kislovodsk Medical College
48,Krasnoyarsk State Medical University
48,Kuban State Medical University
48,Kursk State Medical University
48,Maikop State Technological University
48,Mari State University
48,Mordovia N.P.Ogerev State University
48,Moscow State Medical and Dental University
48,Moscow State University of Medicine and Dentistry
48,National Medical University
48,"National Research Nuclear University ""MIFI"""
48,Nizhny Novgorod State Medical Academy
48,North Ossetian State Medical Academy
48,North Ossetian State University named after Costa Levanovich Khetagurov
48,North Western State Medical University
48,North-Caucasian Federal University
48,"North-Caucasian State Humanitarian and Technological Academy, Cherkessk"
48,North-Eastern Federal University named after MK Ammosov
48,Northern State Medical University
48,Novosibirsk National Research State University
48,Novosibirsk State Medical University
48,Omsk State Medical University
48,Orel State University
48,Orenburg State Medical University
48,Pacific State Medical University
48,Penza Basic Medical College
48,Penza State University
48,Peoples’s Friendship University of Russia
48,Perm State Medical University
48,Perm State Pharmaceutical Academy
48,Petrozavodsk State University
48,Pskov State University
48,Rostov State Medical University
48,Russian National Research Medical University
48,Russian Peoples Friendship University
48,"Russian State Medical University,Moscow"
48,Russian State Social University
48,Ryazan State I P Pavlov Medical University
48,Saint Petersburg State Medical Academy
48,Saint Petersburg State Medical University
48,Saint-Petersburg Pavlov State Medical University
48,Samara State Medical University
48,Saratov State Medical University
48,Saratovskiy State Medical University
48,Sechenov Moscow Medical Academy
48,Siberian State Medical University
48,Smolensk State Medical University
48,South Ural State Medical University
48,St. Petersburg State Chemical-pharmaceutical Academy
48,St. Petersburg State Pediatric Medical Academy
48,St. Petersburg State Pediatric Medical University
48,Stavropol State Medical University
48,Syktyvkar State University named after P Sorokin
48,Tambov State University
48,The Belgorod State University
48,The Chechen State University
48,The Chuvash State University named after I.N. Ulyanov
48,The First Moscow State Medical University
48,The First St. Petersburg State Medical University
48,Tombosky State University named after G.R. Derzhavin
48,Tula State University
48,Tver State Medical University
48,Tyumen State Medical University
48,Ulyanovsk College of Pharmacy
48,Ulyanovsk State University
48,Ural State Medical University
48,Volgograd Medical Academy
48,Volgograd State Medical University
48,Voronezh State Medical University
48,Yaroslav-the-Wise Novgorod State University
48,Yaroslavl State Medical Academy
48,Yaroslavl State Medical Academy YSMA
48,Yaroslavl State Medical University
49,"Alfaisal University, Saudi Arabia"
49,"King Saud University, Riyadh"
59,Royal College of Physicians and Surgeons of Glasgow
60,University of Seychelles
61,National University of Singapore
62,Pavol Jozef Safarik University Kosice
63,"University of Sri Jayewardenepura,Nugegoda"
64,"Academy of Medical Sciences & Techonolony,Khartoum"
65,Avicenna Tajik State Medical University
65,Tajik Abuali Ibn Sino State Medical University
65,Tajik State Medical University
74,International Medical & Technological University
74,"The Hubert Kairuki Memorial University, Dar es Salam"
75,Second Tashkent State Medical Institute
75,The Tashkent Medical Academy
66,"Dubai Medical College For Girls, Dubai"
66,"Gulf Medical University,Ajman"
66,"Gulf University, Bahrain,UAE"
66,"RAK Medical & Health Sciences University, Ras Al Khaimah"
66,University of Sarjah
67,"American Board of Cosmetic Surgery,USA"
67,American Board of Emergency Medicine
67,American Board of Family Medicine
67,American Board of Hospic and Palliative Medicine
67,American Board of Internal Medicine
67,American Board of Psychiatry and Neurology
67,American board of Thoracic Surgery
67,"American University Of Saint Vincent, Kingstown"
67,"American University of the Caribben, School of Medicine"
67,Case Western Reserve University
67,"Emory University, Atlanta"
67,"Harvard University, Boston"
67,Jefferson Medical College of Philadelphia of Thomas Jefferson University
67,Massachusetts Harvard Medical School
67,"Mayo Medical School, Rochester"
67,New York Medical College
67,New York University
67,"NorthWestern University, East Chicago"
67,"State University of New York, Brooklyn"
67,"Temple University, School of Medicine, Philadelphia"
67,The American Board of Colon and Rectal Surgery
67,The American Board of Ophthalmolgy
67,The American Board of Pediatrics
67,The American Board of Surgery
67,The Johns hopkins University
67,"The University of Alabama, Birmingham"
67,The University of Illinois at Chicago
67,The University of North Carolina
67,The University of the State of New York
67,"Thomas Jefferson University, Philadelphia"
67,University of California
67,University of Colorado School of Medicine
67,University of Florida
67,University of Massachusetts Medical School
67,University of Medicine and Denistry of New Jersey
67,University of Minnesota
67,University of Southern California
67,University of Tennessee Health Science Centre
67,University of Texas South Western Medical Centre
67,Virginia Commonwealth University
67,Washington University
67,"Wayne State University, Detroit, MI"
76,Makerere University
68,Bukovinian State Medical University
68,Crimea State Medical Institute
68,Crimea State Medical University
68,Danylo Halytski Lviv State Medical University
68,Danylo Halytsky Lviv National Medical University
68,Dnipropetrovsk State Medical Academy
68,Donetsk State Medical University
68,Gorky’s Donetsk State Medical University
68,I.Horbachevsky Ternopil State Medical University
68,Ivano-Frankivsk National Medical University
68,Kharkiv National Medical University
68,Kharkiv National University
68,Kharkiv State Medical University
68,"Kyiv Medical University of UAFM, Kyiv"
68,Lugansk State Medical University
68,M. Gorky Donetsk National Medical University
68,M. Gorky Donetsk State Medical University
68,"National Pirogov Memorial Medical University,Vinnytsya"
68,O.O. Bogomolets National Medical University
68,Odessa National Medical University
68,Odessa State Medical University
68,"Petro Mohyla Black Sea National University, Ukrain"
68,"Sumy State University, Sumy"
68,"Taras Sheychenko National University of Kyiv, Ukraine"
68,Ternopil State Medical University
68,"Uzhhorod National University, Ukraine"
68,V.N. Karazin Kharkiv National University
68,Vinnitsa State Pirogov Memorial Medical University
68,Zaporozhye State Medical University
69,"Queen Mary University of London , UK"
69,Saint Georges University of London
69,University of Glasgow
69,"University of Leeds,"
69,University of Liverpool
69,University of NewCastle Upon Tyne
69,"University of Wales College of Medicaine, Cardiff, Wales"
70,"All American Institute of Medical Sciences (AAIMS), Jamaica"
70,"American International Medical University, Saint Lucia"
70,"American University of Antigua College of Medicine, Antigua & Barbuda"
70,"Bridgetown International University, Barbados"
70,"International American University College of Medicine, St.Lucia"
70,"International University of Health Sciences, Saint Kitts"
70,"Ross University School of Medicine, Dominica, West Indies"
70,"Spartan Health Sciences University,St. Lucia,West Indies"
70,"St. Georges University, Grenada"
70,"St. James School of Medicine, St. Vincent and the Grenadines"
70,The American University of Barbados
70,The University of West Indies
70,Trinity School of Medicine of saint Vincent and Grenadines (for 2017 batch only)
70,"Victoria University of Barbados, Barbados"
70,"Washington University of Barbados School of Medicine, Barbados"
70,Windsor University of Medical Sciences
70,Windsor University School of Medicine
71,Sana'a University Republic of Yemen
71,University of Aden
71,University of Applied and Social Sciences
72,"Lusaka Apex Medical University, Zambia"
72,University of Zambeia
19,Akaki Tsereteli State University
19,Batumi Shota Rustaveli State University
19,David Agmashenebeli University of Georgia
19,David Tvildiani Medical University
19,"East Europeon University, Georgia"
19,European University
19,"Georgian American University, georgia"
19,"Georgian National University, Georgia"
19,"High Medical School ""Ayeti"""
47,"""GR. T. POPA"" University Of Medicine and Pharmacy, Lasi"
47,"""Victor Babes"" University of Medicine and Pharmacy, Timisoara"
47,"The University of Medicine and Pharmacy ""IULIU HATIEGANU"",CLUJ-NAPOCA"
47,University of Medicine and Pharmacy
47,"University of Medicine and Pharmacy ""Carol Davila"""
